Photo Name,Quality Parameter,Original Size (KB),QJPEG Size (KB),CV2 Size (KB),Time QFT (s),Time DCT (s),QFT Compression,JPEG Compression,Size differential
WildFriday,55,1697.71,109.97,102.55,4.2555,0.019,0.064775492,0.060404898,7.42
WildFriday,60,1697.71,119.48,111.36,4.2845,0.023,0.070377155,0.065594242,8.12
WildFriday,65,1697.71,131.63,122.44,4.3506,0.019,0.077533854,0.07212068,9.19
WildFriday,70,1697.71,146.87,136.64,4.4079,0.02,0.086510653,0.080484888,10.23
WildFriday,75,1697.71,165.14,153.69,4.8925,0.034,0.097272208,0.090527829,11.45
WildFriday,80,1697.71,193.58,180.18,4.6666,0.021,0.114024186,0.1061312,13.4
WildFriday,85,1697.71,233.42,216.72,4.6586,0.021,0.137491091,0.127654311,16.7
WildFriday,90,1697.71,300.97,278.12,4.8648,0.02,0.177279983,0.163820676,22.85
WildFriday,95,1697.71,432.62,400.27,5.2423,0.021,0.254825618,0.235770538,32.35
WildFriday,100,1697.71,758.1,771.9,6.3967,0.025,0.446542696,0.454671293,-13.8
